flow_type,partner,product,reporter,Trade,Y_2013_IHS,Y_2014_IHS,Y_2015_IHS,Y_2016_IHS,Y_2017_IHS,Y_2018_IHS,Y_2019_IHS,YTD,YTD_2019,YTD_2020,updated_date
QTY,Canada,Flat Products,United States (For Domestic Consumption),IMP,2622821.975,2911006.648,2836703.741,3106736.323,3317011.092,3557115.196,3197523.631,Feb,481077.23,681369.104,06APR2020
QTY,Canada,Long Products,United States (For Domestic Consumption),IMP,1196536.066,1327261.964,1349030.473,1283835.946,1319246.945,1067126.074,824828.531,Feb,124086.118,163323.605,06APR2020
QTY,Canada,Pipe and Tube Products,United States (For Domestic Consumption),IMP,1024331.494,992723.906,941389.501,650329.618,926327.652,916128.658,756984.162,Feb,193888.201,106465.191,06APR2020
QTY,Canada,Semi-Finished Products,United States (For Domestic Consumption),IMP,189112.901,296223.875,186417.159,143440.994,186948.114,89040.43,260548.575,Feb,3881.037,15916.002,06APR2020
QTY,Canada,Stainless Products,United States (For Domestic Consumption),IMP,27255.849,35905.11,33534.185,30560.843,43280.086,29072.731,17178.556,Feb,2762.53,3820.741,06APR2020
QTY,China,All Steel Mill Products,United States (For Domestic Consumption),IMP,1745230.62,2919170.236,2181745.229,802023.865,758396.349,649883.841,508526.22,Feb,109603.27,47733.139,06APR2020
QTY,China,Flat Products,United States (For Domestic Consumption),IMP,695084.716,1815856.134,1351497.875,175354.651,166587.982,127426.67,121019.842,Feb,20558.186,10692.28,06APR2020
QTY,China,Long Products,United States (For Domestic Consumption),IMP,800980.677,731601.626,451025.981,356585.222,322450.672,347052.399,268062.536,Feb,63807.327,23558.269,06APR2020
QTY,China,Pipe and Tube Products,United States (For Domestic Consumption),IMP,136506.409,189630.954,187388.459,190858.538,206696.452,123383.896,74691.687,Feb,15978.36,9152.909,06APR2020
QTY,China,Semi-Finished Products,United States (For Domestic Consumption),IMP,7217.563,7125.19,7325.057,6964.653,8256.64,6962.212,3920.378,Feb,524.765,91.721,06APR2020
QTY,China,Stainless Products,United States (For Domestic Consumption),IMP,105441.255,174956.332,184507.857,72260.801,54404.603,45058.664,40831.777,Feb,8734.632,4237.96,06APR2020
QTY,Colombia,All Steel Mill Products,United States (For Domestic Consumption),IMP,15297.186,20173.718,14982.377,17358.388,43437.914,25935.037,11994.446,Feb,2155.854,39.742,06APR2020
QTY,Colombia,Flat Products,United States (For Domestic Consumption),IMP,1825.807,2908.577,2083.281,12896.327,29089.24,17277.308,7299.261,Feb,851.671,20.79,06APR2020
QTY,Colombia,Long Products,United States (For Domestic Consumption),IMP,1860.036,1970.88,2208.13,1861.744,9203.419,822.871,111.045,Feb,20.073,0,06APR2020
QTY,Colombia,Pipe and Tube Products,United States (For Domestic Consumption),IMP,11598.448,15274.911,10672.651,2600.252,5139.41,7755.948,4584.14,Feb,1284.11,18.952,06APR2020
QTY,Colombia,Stainless Products,United States (For Domestic Consumption),IMP,12.895,19.35,18.315,0.065,5.845,78.91,0,Feb,0,0,06APR2020
